InstanceType,Region,AZ,SpotPrice,T3,SPS,IF,exptime
is4gen.large,us-east-1,us-east-1d,0.1079,20.0,3,2.5,250521-1100
g6e.xlarge,us-east-1,us-east-1b,0.7161,15.0,3,1.0,250521-1100
c4.2xlarge,us-east-1,us-east-1e,0.1684,10.0,3,2.5,250521-1100
c7a.xlarge,us-east-1,us-east-1f,0.0692,5.0,3,2.0,250521-1100
r5b.large,us-east-1,us-east-1c,0.054,1.0,3,3.0,250521-1100
t4g.small,us-east-1,us-east-1d,0.0082,50.0,3,3.0,250521-1210
m8g.xlarge,us-east-1,us-east-1c,0.0513,45.0,3,1.0,250521-1210
r5a.2xlarge,us-east-1,us-east-1a,0.2026,40.0,3,1.0,250521-1210
c7g.medium,us-east-1,us-east-1c,0.0111,35.0,3,3.0,250521-1210
m7i-flex.large,us-east-1,us-east-1c,0.033,30.0,3,2.5,250521-1210
x2gd.2xlarge,us-east-1,us-east-1a,0.1972,25.0,3,3.0,250521-1210
m2.2xlarge,us-east-1,us-east-1b,0.1565,20.0,3,1.0,250521-1210
i7i.2xlarge,us-east-1,us-east-1f,0.2058,15.0,3,3.0,250521-1210
m6gd.2xlarge,us-east-1,us-east-1b,0.2187,10.0,3,1.0,250521-1210
x2iezn.6xlarge,us-east-1,us-east-1a,1.3423,5.0,3,3.0,250521-1210
m7i-flex.xlarge,us-east-1,us-east-1f,0.0574,1.0,3,2.5,250521-1210
is4gen.medium,us-east-1,us-east-1d,0.0182,50.0,3,2.5,250521-1321
c7gd.xlarge,us-east-1,us-east-1d,0.0727,45.0,3,1.5,250521-1321
r5d.xlarge,us-east-1,us-east-1a,0.1528,40.0,3,2.0,250521-1321
r5a.2xlarge,us-east-1,us-east-1d,0.1725,35.0,3,1.0,250521-1321
i7ie.2xlarge,us-east-1,us-east-1f,0.2796,30.0,3,3.0,250521-1321
x2iedn.xlarge,us-east-1,us-east-1a,0.2141,25.0,3,3.0,250521-1321
c6a.xlarge,us-east-1,us-east-1c,0.0653,20.0,3,1.5,250521-1321
c4.xlarge,us-east-1,us-east-1c,0.0708,15.0,3,2.5,250521-1321
x1e.xlarge,us-east-1,us-east-1b,0.1883,10.0,3,1.0,250521-1321
i4g.xlarge,us-east-1,us-east-1d,0.1154,5.0,3,2.5,250521-1321
c6id.2xlarge,us-east-1,us-east-1f,0.1661,1.0,3,1.0,250521-1321
m5.large,us-east-1,us-east-1d,0.0296,50.0,3,2.0,250521-1431
r6a.2xlarge,us-east-1,us-east-1f,0.1626,45.0,3,1.0,250521-1431
c6gn.medium,us-east-1,us-east-1b,0.011,40.0,3,1.5,250521-1431
r5d.xlarge,us-east-1,us-east-1d,0.1522,35.0,3,2.0,250521-1431
m7gd.xlarge,us-east-1,us-east-1b,0.1222,30.0,3,1.0,250521-1431
c7gd.medium,us-east-1,us-east-1c,0.0131,25.0,3,2.5,250521-1431
m1.large,us-east-1,us-east-1b,0.0463,20.0,3,1.0,250521-1431
m8gd.large,us-east-1,us-east-1f,0.0438,15.0,3,2.5,250521-1431
c5d.2xlarge,us-east-1,us-east-1c,0.1853,10.0,3,2.5,250521-1431
c6in.xlarge,us-east-1,us-east-1c,0.0864,5.0,3,1.5,250521-1431
r7iz.xlarge,us-east-1,us-east-1b,0.1402,1.0,3,1.0,250521-1431
m4.large,us-west-2,us-west-2c,0.0353,50.0,3,3.0,250520-1133
m7gd.medium,us-west-2,us-west-2b,0.0145,45.0,3,2.5,250520-1133
m6a.2xlarge,us-west-2,us-west-2c,0.1479,40.0,3,1.0,250520-1133
x2gd.large,us-west-2,us-west-2b,0.0491,35.0,3,3.0,250520-1133
r7a.medium,us-west-2,us-west-2c,0.0234,30.0,3,3.0,250520-1133
c6g.medium,us-west-2,us-west-2a,0.01,25.0,3,2.5,250520-1133
c7i.xlarge,us-west-2,us-west-2a,0.0779,20.0,3,1.0,250520-1133
c6gn.medium,us-west-2,us-west-2d,0.011,15.0,3,3.0,250520-1133
i2.2xlarge,us-west-2,us-west-2c,0.4447,10.0,3,1.0,250520-1133
i4g.xlarge,us-west-2,us-west-2c,0.101,5.0,3,3.0,250520-1133
c5a.2xlarge,us-west-2,us-west-2d,0.1673,1.0,3,2.5,250520-1133
r5.large,us-west-2,us-west-2b,0.0334,50.0,3,2.0,250520-1243
m7gd.medium,us-west-2,us-west-2b,0.0145,45.0,3,2.5,250520-1243
t3a.xlarge,us-west-2,us-west-2c,0.0535,40.0,3,1.0,250520-1243
c6id.2xlarge,us-west-2,us-west-2d,0.1002,35.0,3,1.0,250520-1243
m1.small,us-west-2,us-west-2a,0.0126,30.0,3,1.0,250520-1243
m6gd.2xlarge,us-west-2,us-west-2a,0.1209,25.0,3,1.0,250520-1243
c6in.2xlarge,us-west-2,us-west-2b,0.1554,20.0,3,1.5,250520-1243
c7g.xlarge,us-west-2,us-west-2d,0.0502,15.0,3,3.0,250520-1243
x2iezn.2xlarge,us-west-2,us-west-2a,0.9836,10.0,3,3.0,250520-1243
inf2.xlarge,us-west-2,us-west-2d,0.2016,5.0,3,2.5,250520-1243
i8g.xlarge,us-west-2,us-west-2a,0.0875,1.0,3,2.0,250520-1243
r8g.medium,us-west-2,us-west-2c,0.0159,50.0,3,3.0,250520-1353
m6g.large,us-west-2,us-west-2c,0.0339,45.0,3,2.0,250520-1353
r8g.2xlarge,us-west-2,us-west-2a,0.1564,40.0,3,1.5,250520-1353
r7g.large,us-west-2,us-west-2d,0.029,35.0,3,1.0,250520-1353
r5.2xlarge,us-west-2,us-west-2d,0.2691,30.0,3,1.0,250520-1353
c5n.xlarge,us-west-2,us-west-2c,0.0969,25.0,3,3.0,250520-1353
d3.2xlarge,us-west-2,us-west-2c,0.3451,20.0,3,3.0,250520-1353
m7gd.2xlarge,us-west-2,us-west-2c,0.1624,15.0,3,2.5,250520-1353
c6gd.xlarge,us-west-2,us-west-2a,0.055,10.0,3,2.5,250520-1353
x2gd.2xlarge,us-west-2,us-west-2c,0.2281,5.0,3,3.0,250520-1353
m8gd.2xlarge,us-west-2,us-west-2b,0.2205,1.0,3,3.0,250520-1353
m3.large,us-west-2,us-west-2b,0.0359,50.0,3,3.0,250520-1504
c6g.large,us-west-2,us-west-2b,0.0291,45.0,3,2.5,250520-1504
i3.2xlarge,us-west-2,us-west-2b,0.2809,40.0,3,1.0,250520-1504
m5a.xlarge,us-west-2,us-west-2a,0.0819,35.0,3,1.5,250520-1504
m1.small,us-west-2,us-west-2a,0.0126,30.0,3,1.0,250520-1504
c4.2xlarge,us-west-2,us-west-2a,0.1452,25.0,3,2.0,250520-1504
r5dn.large,us-west-2,us-west-2a,0.0553,20.0,3,3.0,250520-1504
r6id.2xlarge,us-west-2,us-west-2a,0.2909,15.0,3,1.0,250520-1504
g4ad.xlarge,us-west-2,us-west-2b,0.1337,10.0,3,3.0,250520-1504
m1.large,us-west-2,us-west-2a,0.0525,5.0,3,1.0,250520-1504
m1.xlarge,us-west-2,us-west-2a,0.1064,1.0,3,1.0,250520-1504
m5dn.large,us-west-2,us-west-2c,0.0398,50.0,3,3.0,250520-1614
r8g.2xlarge,us-west-2,us-west-2d,0.1731,45.0,3,1.5,250520-1614
c6g.medium,us-west-2,us-west-2b,0.0092,40.0,3,2.5,250520-1614
c4.xlarge,us-west-2,us-west-2b,0.0788,35.0,3,3.0,250520-1614
c7i-flex.large,us-west-2,us-west-2d,0.0246,30.0,3,3.0,250520-1614
r6gd.xlarge,us-west-2,us-west-2c,0.1442,25.0,3,1.0,250520-1614
r5a.xlarge,us-west-2,us-west-2a,0.0998,20.0,3,2.5,250520-1614
d3en.xlarge,us-west-2,us-west-2c,0.1614,15.0,3,3.0,250520-1614
m6gd.medium,us-west-2,us-west-2d,0.0126,10.0,3,1.0,250520-1614
i4g.2xlarge,us-west-2,us-west-2c,0.2298,5.0,3,1.0,250520-1614
r7g.2xlarge,us-west-2,us-west-2d,0.1456,1.0,3,2.0,250520-1614
t2.large,us-west-2,us-west-2b,0.0296,50.0,3,3.0,250520-1724
c6g.medium,us-west-2,us-west-2d,0.0096,45.0,3,2.5,250520-1724
r5d.xlarge,us-west-2,us-west-2c,0.1235,40.0,3,2.5,250520-1724
c7gd.2xlarge,us-west-2,us-west-2c,0.107,35.0,3,3.0,250520-1724
m6g.medium,us-west-2,us-west-2a,0.0133,30.0,3,3.0,250520-1724
m5n.xlarge,us-west-2,us-west-2a,0.1167,25.0,3,3.0,250520-1724
