pods,cpu,memory,nodepool_config,first_time
1000,1,2,"[{'instance_type': 'm7g.12xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 5}]",2025-05-21T11:12:36+09:00
1000,1,2,"[{'instance_type': 'c6gd.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2}, {'instance_type': 'i8g.48xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 3}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2}]",2025-05-21T13:12:27+09:00
1000,1,2,"[{'instance_type': 'c7g.16xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2}, {'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21T03:12:45+09:00
1000,1,2,"[{'instance_type': 'i8g.48xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 3}, {'instance_type': 'm7g.12xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2}]",2025-05-21T18:03:08+09:00
439,1,9,"[{'instance_type': 'r8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'x8g.24xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}]",2025-05-21T10:22:34+09:00
439,1,9,"[{'instance_type': 'r7g.12xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'r8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'x2gd.12xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}]",2025-05-21T09:20:56+09:00
439,1,9,"[{'instance_type': 'dl2q.24xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 2}]",2025-05-21T02:20:45+09:00
439,1,9,"[{'instance_type': 'r8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'x8g.24xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}]",2025-05-21T12:20:16+09:00
439,1,9,"[{'instance_type': 'r8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'x8g.24xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}]",2025-05-21T07:23:03+09:00
439,1,9,"[{'instance_type': 'x2gd.12xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'x2gd.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2b', 'num_instances': 1}]",2025-05-20T23:23:37+09:00
439,1,9,"[{'instance_type': 'dl2q.24xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-west-2a', 'num_instances': 2}]",2025-05-21T04:19:37+09:00
