InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
c6i.large,usw2-az2,2,4.0,35,3,1.5,0.0419,0.085,26919.626888888884
c6i.large,usw2-az3,2,4.0,45,3,1.5,0.0385,0.085,26919.626888888884
c6i.large,usw2-az4,2,4.0,10,3,1.5,0.0349,0.085,26919.626888888884
c6i.xlarge,usw2-az1,4,8.0,50,3,2.0,0.0711,0.17,26919.626888888884
c6i.xlarge,usw2-az2,4,8.0,50,3,2.0,0.075,0.17,26919.626888888884
c6i.xlarge,usw2-az3,4,8.0,50,3,2.0,0.072,0.17,26919.626888888884
c6i.xlarge,usw2-az4,4,8.0,10,3,2.0,0.0704,0.17,26919.626888888884
c6id.12xlarge,usw2-az1,48,96.0,10,3,1.0,0.9989,2.4192,26919.626888888884
c6id.12xlarge,usw2-az2,48,96.0,5,3,1.0,0.9108,2.4192,26919.626888888884
c6id.12xlarge,usw2-az3,48,96.0,25,3,1.0,0.932,2.4192,26919.626888888884
c6id.12xlarge,usw2-az4,48,96.0,1,3,1.0,1.1101,2.4192,26919.626888888884
c6id.16xlarge,usw2-az1,64,128.0,20,3,1.0,1.2976,3.2256,26919.626888888884
c6id.16xlarge,usw2-az2,64,128.0,15,3,1.0,1.1869,3.2256,26919.626888888884
c6id.16xlarge,usw2-az3,64,128.0,20,3,1.0,1.2201,3.2256,26919.626888888884
c6id.16xlarge,usw2-az4,64,128.0,5,3,1.0,1.2306,3.2256,26919.626888888884
c6id.24xlarge,usw2-az1,96,192.0,50,3,2.5,1.804,4.8384,26919.626888888884
c6id.24xlarge,usw2-az2,96,192.0,30,3,2.5,1.7836,4.8384,26919.626888888884
c6id.24xlarge,usw2-az3,96,192.0,50,3,2.5,1.7071,4.8384,26919.626888888884
c6id.24xlarge,usw2-az4,96,192.0,15,3,2.5,1.8369,4.8384,26919.626888888884
c6id.2xlarge,usw2-az1,8,16.0,50,3,2.0,0.1397,0.4032,26919.626888888884
c6id.2xlarge,usw2-az2,8,16.0,45,3,2.0,0.1384,0.4032,26919.626888888884
c6id.2xlarge,usw2-az3,8,16.0,50,3,2.0,0.1388,0.4032,26919.626888888884
c6id.2xlarge,usw2-az4,8,16.0,40,3,2.0,0.1229,0.4032,26919.626888888884
c6id.32xlarge,usw2-az1,128,256.0,50,3,2.5,3.0036,6.4512,26919.626888888884
c6id.32xlarge,usw2-az2,128,256.0,50,3,2.5,2.3753,6.4512,26919.626888888884
c6id.32xlarge,usw2-az3,128,256.0,35,3,2.5,2.934,6.4512,26919.626888888884
c6id.32xlarge,usw2-az4,128,256.0,10,3,2.5,2.4395,6.4512,26919.626888888884
c6id.4xlarge,usw2-az1,16,32.0,50,3,1.0,0.2089,0.8064,26919.626888888884
c6id.4xlarge,usw2-az2,16,32.0,15,3,1.0,0.3266,0.8064,26919.626888888884
c6id.4xlarge,usw2-az3,16,32.0,15,3,1.0,0.357,0.8064,26919.626888888884
c6id.4xlarge,usw2-az4,16,32.0,1,3,1.0,0.3044,0.8064,26919.626888888884
c6id.8xlarge,usw2-az1,32,64.0,15,3,1.0,0.6391,1.6128,26919.626888888884
c6id.8xlarge,usw2-az2,32,64.0,10,3,1.0,0.6427,1.6128,26919.626888888884
c6id.8xlarge,usw2-az3,32,64.0,35,3,1.0,0.6701,1.6128,26919.626888888884
c6id.8xlarge,usw2-az4,32,64.0,15,3,1.0,0.476,1.6128,26919.626888888884
c6id.large,usw2-az1,2,4.0,10,3,2.5,0.04,0.1008,26919.626888888884
c6id.large,usw2-az2,2,4.0,5,3,2.5,0.0369,0.1008,26919.626888888884
c6id.large,usw2-az3,2,4.0,15,3,2.5,0.0409,0.1008,26919.626888888884
c6id.large,usw2-az4,2,4.0,5,3,2.5,0.0377,0.1008,26919.626888888884
c6id.xlarge,usw2-az1,4,8.0,15,3,1.5,0.0737,0.2016,26919.626888888884
