run,pods,cpu,mem,alpha,cost,performance,actual_pods
result_110521,100,1,2,1.0,24702.878399999987,31541616089,1212197
result_110521,100,1,4,1.0,24658.585199999983,26810883662,1030566
result_110521,100,2,2,1.0,24628.437699999984,15720214934,603958
result_110521,10,1,2,1.0,24702.878399999987,31541616089,1212197
result_110521,10,1,4,1.0,24658.585199999983,26810883662,1030566
result_110521,10,2,2,1.0,24628.437699999984,15720214934,603958
result_110521,115,4,2,1.0,24117.578399999966,7711807402,296054
result_110521,17,7,7,1.0,22937.111299999986,3955163392,151128
result_110521,287,1,6,1.0,24558.89409999999,21632208554,830519
result_110521,400,1,2,1.0,24702.878399999987,31541616089,1212197
result_110521,400,1,4,1.0,24658.585199999983,26810883662,1030566
result_110521,400,2,2,1.0,24628.437699999984,15720214934,603958
result_110521,439,1,9,1.0,24160.56249999998,16658201561,637996
result_110521,50,1,2,1.0,24702.878399999987,31541616089,1212197
result_110521,50,1,4,1.0,24658.585199999983,26810883662,1030566
result_110521,50,2,2,1.0,24628.437699999984,15720214934,603958
result_110521,75,3,5,1.0,24117.578399999966,9845594362,377079
